luxembourgish,english,topics,register
Wéi geet et dir?,How are you?,Greetings,informal
Wéi geet et Iech?,How are you?,Greetings,formal
Et geet mir gutt,I am fine,Greetings,neutral
Gutt merci,Fine thank you,Greetings,neutral
A bäi dir?,And you?,Greetings,informal
A bäi Iech?,And you?,Greetings,formal
Ech heeschen ...,My name is ...,Introductions,neutral
Mäin Numm ass ...,My name is ...,Introductions,neutral
Wéi heeschs du?,What is your name?,Introductions,informal
Wéi heescht Dir?,What is your name?,Introductions,formal
Et freet mech,Pleased to meet you,Introductions,neutral
Schéin de kennen ze léieren,Nice to meet you,Introductions,neutral
Vu wou kënns du?,Where are you from?,Introductions,informal
Vu wou kënnt Dir?,Where are you from?,Introductions,formal
Ech kommen aus ...,I come from ...,Introductions,neutral
Ech si vu Lëtzebuerg,I am from Luxembourg,Introductions,neutral
Ech wunnen zu Lëtzebuerg,I live in Luxembourg,Introductions,neutral
Ech verstinn,I understand,Daily Conversations,neutral
Ech verstinn net,I don't understand,Daily Conversations,neutral
Kënns du dat widderhuelen?,Can you repeat that?,Daily Conversations,informal
Kënnt Dir dat widderhuelen?,Can you repeat that?,Daily Conversations,formal
Schwätz lues wannechgelift,Please speak slowly,Daily Conversations,neutral
Wéi seet een dat op Lëtzebuergesch?,How do you say that in Luxembourgish?,Daily Conversations,neutral
Wat heescht dat?,What does that mean?,Daily Conversations,neutral
Ech schwätzen e bëssen Lëtzebuergesch,I speak a little Luxembourgish,Daily Conversations,neutral
Ech léiere Lëtzebuergesch,I am learning Luxembourgish,Daily Conversations,neutral
Et deet mir leed,I am sorry,Daily Conversations,neutral
Kee Problem,No problem,Daily Conversations,informal
Alles an der Rei,Everything is fine,Daily Conversations,informal
Wat bass du vu Beruff?,What is your profession?,Work,informal
Wat sidd Dir vu Beruff?,What is your profession?,Work,formal
Ech schaffen als ...,I work as a ...,Work,neutral
Ech sinn Enseignant,I am a teacher,Work,neutral
Ech sinn Dokter,I am a doctor,Work,neutral
Ech sinn Student,I am a student,Work,neutral
Ech schaffe bei enger Firma,I work at a company,Work,neutral
Wou schaffs du?,Where do you work?,Work,informal
Wou schafft Dir?,Where do you work?,Work,formal
Ech schaffen am Büro,I work in an office,Work,neutral
Meng Aarbecht gefält mir,I like my work,Work,neutral
Wou wunns du?,Where do you live?,Home,informal
Wou wunnt Dir?,Where do you live?,Home,formal
Ech wunnen an engem Haus,I live in a house,Home,neutral
Ech wunne säit 3 Joer hei,I have lived here for 3 years,Home,neutral
Mäin Haus huet dräi Schlofzëmmeren,My house has three bedrooms,Home,neutral
D'Kichen ass grouss a modern,The kitchen is big and modern,Home,neutral
D'Stuff ass hell a gemittlech,The living room is bright and cozy,Home,neutral
Ech hunn e klenge Gaart,I have a small garden,Home,neutral
Meng Wunneng ass bequeem,My apartment is comfortable,Home,neutral
Ech wunnen um éischte Stack,I live on the first floor,Home,neutral
De Quartier ass roueg,The neighborhood is quiet,Home,neutral
D'Noperen si frëndlech,The neighbors are friendly,Home,neutral
Wéi vill kascht dat?,How much does that cost?,Shopping,neutral
Dat ass ze deier,That is too expensive,Shopping,neutral
Hutt Dir dat méi bëlleg?,Do you have that cheaper?,Shopping,formal
Kann ech mat Kaart bezuelen?,Can I pay by card?,Shopping,neutral
Ech hätt gär ...,I would like ...,Shopping,neutral
Ech kucken just,I am just looking,Shopping,neutral
Kann ech eng Quittung kréien?,Can I get a receipt?,Shopping,neutral
Wou ass de Supermarché?,Where is the supermarket?,Shopping,neutral
Dat ass e gudde Präis,That is a good price,Shopping,neutral
En Dësch fir zwee wannechgelift,A table for two please,Restaurant,neutral
Kann ech d'Menü gesinn?,Can I see the menu?,Restaurant,neutral
Ech hätt gär e Kaffi,I would like a coffee,Restaurant,neutral
Wat kënnt Dir empfeelen?,What can you recommend?,Restaurant,formal
Gudden Appetit!,Enjoy your meal!,Restaurant,neutral
D'Rechnung wannechgelift,The bill please,Restaurant,neutral
Kann ech bezuelen?,Can I pay?,Restaurant,neutral
Et war lecker,It was delicious,Restaurant,neutral
Hutt Dir vegetaresch Iessen?,Do you have vegetarian food?,Restaurant,formal
Ech sinn allergësch géint ...,I am allergic to ...,Restaurant,neutral
Wou ass d'Toilette?,Where is the toilet?,Directions,neutral
Wou ass d'Gare?,Where is the train station?,Directions,neutral
Wéi komm ech op de Flughafen?,How do I get to the airport?,Directions,neutral
Ass et wäit vun hei?,Is it far from here?,Directions,neutral
Gitt lénks,Go left,Directions,neutral
Gitt riets,Go right,Directions,neutral
Gitt geradeaus,Go straight ahead,Directions,neutral
Kënnt Dir mir dat weisen?,Can you show me that?,Directions,formal
D'éischt Strooss lénks,The first street on the left,Directions,neutral
Et ass 5 Minutten ze Fouss,It is 5 minutes on foot,Directions,neutral
Wéini geet den nächsten Zuch?,When does the next train leave?,Transportation,neutral
Ech hätt gär e Billett no Lëtzebuerg,I would like a ticket to Luxembourg,Transportation,neutral
Wéi laang dauert d'Rees?,How long does the journey take?,Transportation,neutral
Ass dësen Zuch pünktlech?,Is this train on time?,Transportation,neutral
Wou ass d'Bushaltestell?,Where is the bus stop?,Transportation,neutral
Ech muss op d'Gare goen,I need to go to the train station,Transportation,neutral
Wéi spéit ass et?,What time is it?,Time,neutral
Et ass hallwer zwee,It is half past one,Time,neutral
Et ass Véierel virun dräi,It is quarter to three,Time,neutral
Um wéi vill Auer?,At what time?,Time,neutral
Haut ass Méindeg,Today is Monday,Time,neutral
Muer ass Dënschdeg,Tomorrow is Tuesday,Time,neutral
Wéi ass d'Wieder haut?,How is the weather today?,Weather,neutral
Et ass schéin Wieder,It is nice weather,Weather,neutral
Et reent,It is raining,Weather,neutral
Et ass kal haut,It is cold today,Weather,neutral
D'Sonn schéngt,The sun is shining,Weather,neutral
Ech hunn Kopwéi,I have a headache,Health,neutral
Mir ass schlecht,I feel sick,Health,neutral
Ech brauch en Dokter,I need a doctor,Health,neutral
Wou ass d'Apothik?,Where is the pharmacy?,Health,neutral
Ech sinn krank,I am sick,Health,neutral
Ech hunn Bauchwéi,I have a stomachache,Health,neutral
Et deet wéi,It hurts,Health,neutral
Hëllef!,Help!,Emergencies,neutral
Rufft d'Police!,Call the police!,Emergencies,neutral
Rufft eng Ambulanz!,Call an ambulance!,Emergencies,neutral
Et ass en Noutfall,It is an emergency,Emergencies,neutral
Ech brauch Hëllef,I need help,Emergencies,neutral
Feier!,Fire!,Emergencies,neutral
Wou ass de nächste Spidol?,Where is the nearest hospital?,Emergencies,neutral
Wat maachs du gären?,What do you like to do?,Hobbies,informal
Wat maacht Dir gären?,What do you like to do?,Hobbies,formal
Ech spillen gär Fussball,I like to play football,Hobbies,neutral
Ech liesen gär Bicher,I like to read books,Hobbies,neutral
Ech kachen gär,I like to cook,Hobbies,neutral
Ech lauschteren gär Musek,I like to listen to music,Hobbies,neutral
Ech fueren gär Vëlo,I like to cycle,Hobbies,neutral
Ech ginn gär an de Kino,I like to go to the cinema,Hobbies,neutral
Ech maache gär Sport,I like to do sports,Hobbies,neutral
Ech reese gär,I like to travel,Hobbies,neutral
Hutt Dir Kanner?,Do you have children?,Family,formal
Hues du Geschwëster?,Do you have siblings?,Family,informal
Ech hunn zwee Kanner,I have two children,Family,neutral
Meng Famill wunnt zu Lëtzebuerg,My family lives in Luxembourg,Family,neutral
Mäi Brudder ass méi al wéi ech,My brother is older than me,Family,neutral
Meng Schwëster wunnt zu Paräis,My sister lives in Paris,Family,neutral
Ech sinn bestuet,I am married,Family,neutral
Ech hunn e Frënd,I have a boyfriend,Family,neutral
Ech hunn eng Frëndin,I have a girlfriend,Family,neutral
Meng Eltere sinn pensionéiert,My parents are retired,Family,neutral
Prost!,Cheers!,Social,neutral
Vill Gléck!,Good luck!,Social,neutral
Gutt Besserung!,Get well soon!,Social,neutral
Schéi Feierdeeg!,Happy holidays!,Social,neutral
E glécklecht neit Joer!,Happy New Year!,Social,neutral
Vill Gléck fir däi Gebuertsdag!,Happy birthday!,Social,informal
Vill Gléck fir äre Gebuertsdag!,Happy birthday!,Social,formal
Gratulatioun!,Congratulations!,Social,neutral
Et gefält mir,I like it,Opinions,neutral
Et gefält mir net,I don't like it,Opinions,neutral
Ech mengen ...,I think ...,Opinions,neutral
Dat ass eng gutt Iddi,That is a good idea,Opinions,neutral
Dat ass richteg,That is correct,Opinions,neutral
Dat ass falsch,That is wrong,Opinions,neutral
Ech sinn averstanen,I agree,Opinions,neutral
Ech sinn net averstanen,I disagree,Opinions,neutral
Wéi laang léiers du scho Lëtzebuergesch?,How long have you been learning Luxembourgish?,Education,informal
Ech léieren zënter engem Joer,I have been learning for one year,Education,neutral
Ech ginn an de Cours,I go to class,Education,neutral
D'Sprooch ass schwéier,The language is difficult,Education,neutral
Ech muss nach vill léieren,I still have a lot to learn,Education,neutral
Wou bass du op Vakanz gaang?,Where did you go on vacation?,Travel,informal
Ech war zu Spuenien,I was in Spain,Travel,neutral
D'Rees war wonnerschéin,The trip was beautiful,Travel,neutral
Mir hunn e Fliger geholl,We took a plane,Travel,neutral
Et war mäin éischte Besuch,It was my first visit,Travel,neutral
Op der Foto gesäit een ...,In the photo you can see ...,Picture Description,neutral
Am Hannergrond ass ...,In the background there is ...,Picture Description,neutral
Vir steet eng Persoun,In front there is a person,Picture Description,neutral
D'Persoun ass jonk,The person is young,Picture Description,neutral
Hie dréit eng Jackett,He is wearing a jacket,Picture Description,neutral
Si huet laang Hoer,She has long hair,Picture Description,neutral
Et gesäit aus wéi ...,It looks like ...,Picture Description,neutral
